playerId,playerName,teamId,leagueEventId,seasonId,stageType,gameMode,opponentId,对手,胜负,playerEnName,number,position,上场时间(秒),上场时间(分钟),scheduleId,gameStart,date,出场次数,首发次数,单场正负值百分位排名,单场正负值,球权使用率百分位排名,球权使用率,真实投篮命中率百分位排名,真实投篮命中率,助攻率百分位排名,助攻率,失误率百分位排名,失误率,抢断率,抢断率百分位排名,盖帽率,盖帽率百分位排名,进攻篮板率,进攻篮板率百分位排名,防守篮板率,防守篮板率百分位排名,防守投篮出手数,防守投篮未命中数,防守投篮被命中数,防守投篮命中率,时间段,_group
80514,王镘淋,1003320453,20005,200406,,2,1003320449,北京大学,2,Wang Manlin,9,PG,289,4.8,200050010977,0,2025-06-06,1,0,,0.79,,0.090909,,0,,0,,0,0.092081,,0,,0,,0,,1,1,0,0,Q2,homeTeamPlayerList
93035,李瑜婧,1003320453,20005,200406,,2,1003320449,北京大学,2,Li Yujing,21,SF,199,3.3,200050010977,1,2025-06-06,1,0,,-0.93,,0.25,,0,,0,,0,0,,0,,0.142857,,0,,1,0,1,1,Q2,homeTeamPlayerList
40730,李嘉琳,1003320453,20005,200406,,2,1003320449,北京大学,2,Li Jialin,2,SF,173,2.9,200050010977,0,2025-06-06,1,0,,-1.78,,0.4,,0,,0,,0,0,,0,,0,,0,,1,0,1,1,Q2,homeTeamPlayerList
32006,李美潼,1003320449,20005,200406,,2,1003320453,清华大学,1,Li Meitong,13,PF,395,6.6,200050010977,1,2025-06-06,1,0,,4.29,,0.295011,,0.551471,,0,,0,0.138961,,0,,0.111111,,0.125,,0,0,0,,Q2,awayTeamPlayerList
32005,王家绘,1003320449,20005,200406,,2,1003320453,清华大学,1,Wang Jiahui,11,SF,381,6.4,200050010977,1,2025-06-06,1,0,,2.45,,0.194301,,0.5,,0.4,,0,0,,0,,0,,0.333333,,2,2,0,0,Q2,awayTeamPlayerList
32012,李若莹,1003320449,20005,200406,,2,1003320453,清华大学,1,Li Ruoying,31,SG,350,5.8,200050010977,0,2025-06-06,1,0,,0.84,,0.111111,,0,,0.25,,0,0.078125,,0,,0.111111,,0,,1,1,0,0,Q2,awayTeamPlayerList
31999,贾晋文,1003320449,20005,200406,,2,1003320453,清华大学,1,Jia Jinwen,4,C,326,5.4,200050010977,0,2025-06-06,1,0,,-1.69,,0.182482,,0,,0.25,,0.333333,0,,0,,0,,0.25,,0,0,0,,Q2,awayTeamPlayerList
30097,钱媛媛,1003320449,20005,200406,,2,1003320453,清华大学,1,Qian Yuanyuan,3,PG,318,5.3,200050010977,1,2025-06-06,1,0,,0.27,,0,,0,,0,,0,0,,0,,0,,0.125,,1,0,1,1,Q2,awayTeamPlayerList
32001,王乔睿,1003320449,20005,200406,,2,1003320453,清华大学,1,Wang Qiaorui,9,SG,298,5,200050010977,0,2025-06-06,1,0,,1.06,,0.105932,,0,,0,,0,0.112867,,0,,0,,0.111111,,0,0,0,,Q2,awayTeamPlayerList
80550,伍湘琳,1003320449,20005,200406,,2,1003320453,清华大学,1,Wu Xianglin,10,PG,282,4.7,200050010977,1,2025-06-06,1,0,,0.42,,0.428571,,0.75,,0,,0.333333,0,,0,,0,,0,,0,0,0,,Q2,awayTeamPlayerList
