_group,_seasonYear,_season,球员ID,球员姓名,球队ID,赛事ID,赛季ID,stageType,gameMode,opponentId,对手,胜负,球员英文名,球衣号,位置,上场时间(秒),上场时间(分钟),scheduleId,gameStart,date,出场次数,首发次数,单场正负值百分位排名,单场正负值,回合占有率百分位排名,回合占有率,真实命中率百分位排名,真实命中率,助攻率百分位排名,助攻率,失误率百分位排名,失误率,抢断率,抢断率百分位排名,盖帽率,盖帽率百分位排名,进攻篮板率,进攻篮板率百分位排名,防守篮板率,防守篮板率百分位排名,护框尝试频率,护框成功频率,护框失败频率,护框时对手命中率
2023-24,2023,2023-24,31999,贾晋文,1003320449,20005,200267,,2,1003320454,中国人民大学,1,Jia Jinwen,4,C,3916,65.3,200050010425,0,2024-01-23,1,0,99.71,19.36,55.56,0.180105,100,0.819672,0,0,14.53,0.290698,0.069001,100,0.05,88.03,0.090909,61.54,0.1,17.09,16,12,4,0.25
2023-24,2023,2023-24,31999,贾晋文,1003320449,20005,200267,,2,1003320453,清华大学,2,Jia Jinwen,4,C,662,11,200050010432,0,2024-01-26,1,0,29.3,-0.32,22.22,0.138504,0,0,0,0,0.85,0.5,0.096154,100,0,0,0,0,0,0,0,0,0,
2023-24,2023,2023-24,31999,贾晋文,1003320449,20005,200267,,2,2010420380,东北师范大学,1,Jia Jinwen,4,C,2730,45.5,200050010573,0,2024-05-04,1,0,14.48,-2.04,74.36,0.206687,24.79,0.380711,0,0,16.24,0.275735,0.022826,64.96,0,0,0,0,0.2,90.6,10,0,10,1
2023-24,2023,2023-24,31999,贾晋文,1003320449,20005,200267,,2,1003320451,北京科技大学,1,Jia Jinwen,4,C,3092,51.5,200050010579,0,2024-05-05,1,0,93.09,9.68,19.66,0.130904,99.15,0.694444,97.44,0.272727,23.08,0.257732,0,0,0,0,0.090909,61.54,0.142857,46.15,4,4,0,0
2023-24,2023,2023-24,31999,贾晋文,1003320449,20005,200267,,2,1003320819,吉林大学,1,Jia Jinwen,4,C,1754,29.2,200050010591,0,2024-05-07,1,0,68.03,4.02,31.62,0.154799,30.77,0.4,0,0,60.68,0.166667,0.032478,87.18,0,0,0.176471,97.44,0.235294,97.44,2,2,0,0
2023-24,2023,2023-24,31999,贾晋文,1003320449,20005,200267,,2,1003320539,山东大学,1,Jia Jinwen,4,C,2066,34.4,200050010599,0,2024-05-08,1,0,77.42,5.44,4.27,0.080214,100,1,0,0,100,0,0,0,0,0,0,0,0.125,35.04,2,0,2,1
2023-24,2023,2023-24,31999,贾晋文,1003320449,20005,200267,,2,1003320545,中国海洋大学,1,Jia Jinwen,4,C,896,14.9,200050010606,0,2024-05-09,1,0,74.68,4.98,89.74,0.242358,99.15,0.675676,76.92,0.142857,100,0,0,0,0,0,0.285714,100,0,0,6,4,2,0.333333
2023-24,2023,2023-24,31999,贾晋文,1003320449,20005,200267,,2,1003320493,西安交通大学,1,Jia Jinwen,4,C,1116,18.6,200050010627,0,2024-06-06,1,0,81.25,6.2,88.89,0.236641,90.6,0.576923,0,0,64.96,0.16129,0.042373,94.02,0,0,0.076923,48.72,0.4,100,4,2,2,0.5
2023-24,2023,2023-24,31999,贾晋文,1003320449,20005,200267,,2,1003320780,上海交通大学,1,Jia Jinwen,4,C,926,15.4,200050010634,0,2024-06-07,1,0,23.77,-0.88,80.34,0.222222,4.27,0.25,0,0,100,0,0,0,0,0,0.083333,55.56,0.25,98.29,4,4,0,0
2023-24,2023,2023-24,31999,贾晋文,1003320449,20005,200267,,2,1000120194,湖南师范大学,1,Jia Jinwen,4,C,1622,27,200050010648,0,2024-06-08,1,0,62.17,3.3,12.82,0.11646,100,1,0,0,0,0.666667,0.090416,100,0,0,0.090909,61.54,0.153846,56.41,4,4,0,0
