_group,_leagueName,球员ID,球员姓名,球员英文名,球衣号,年龄,sex,球队ID,球队名称,位置,身高,体重,位置(中文),赛事ID,赛事名称,赛季ID,赛季,年份,出场次数,上场时间(秒),上场时间(分钟),位置筛选(全部/按位置),进攻篮板率百分位排名,进攻篮板率,防守篮板率百分位排名,防守篮板率,抢断率百分位排名,抢断率,盖帽率百分位排名,盖帽率,犯规率百分位排名,犯规率,护框尝试频率百分位排名,护框尝试频率,护框出手总数,护框成功频率,护框失败频率,护框时对手命中率百分位排名,护框时对手命中率
CUBAL一级联赛,CUBAL一级联赛,80550,伍湘琳,,,22,,1003320449,北京大学,总和,,,,20005,CUBAL一级联赛,200406,2024-25,2024,30,19941,332.4,true,77.42,0.054755,51.61,0.090909,80,0.045393,0,0,44,0.031305,4.4,11,11,6,5,78.02,0.454545
CUBAL一级联赛,CUBAL一级联赛,80550,伍湘琳,Wu Xianglin,10,22,,1003320449,北京大学,PG,173,75,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,15,10098,0.506,false,76,0.052632,76,0.113636,78.4,0.044067,0,0,77.6,0.018886,,6,6,2,4,,0.666667
CUBAL一级联赛,CUBAL一级联赛,80550,伍湘琳,Wu Xianglin,10,22,,1003320449,北京大学,SG,173,75,得分后卫,20005,CUBAL一级联赛,200406,2024-25,2024,13,9294,0.466,false,70.5,0.060773,30.22,0.070064,87.05,0.04951,0,0,26.62,0.039608,,5,5,4,1,,0.2
CUBAL一级联赛,CUBAL一级联赛,80550,伍湘琳,Wu Xianglin,10,22,,1003320449,北京大学,SF,173,75,小前锋,20005,CUBAL一级联赛,200406,2024-25,2024,2,549,0.028,false,0,0,0,0,0,0,0,0,0,0.10989,,0,0,0,0,,
CUBAL一级联赛,CUBAL一级联赛,80550,伍湘琳,,,21,,1003320449,北京大学,总和,,,,20005,CUBAL一级联赛,200267,2023-24,2023,41,32766,546.1,true,57.39,0.045902,41.74,0.081181,92.24,0.04653,0,0,64.66,0.021326,42.05,18,18,8,10,42.05,0.555556
CUBAL一级联赛,CUBAL一级联赛,80550,伍湘琳,Wu Xianglin,10,21,,1003320449,北京大学,SG,173,75,得分后卫,20005,CUBAL一级联赛,200267,2023-24,2023,17,23342,0.712,false,62.07,0.050228,39.66,0.08,96.55,0.053841,0,0,87.93,0.01346,42.7,18,18,8,10,42.7,0.555556
CUBAL一级联赛,CUBAL一级联赛,80550,伍湘琳,Wu Xianglin,10,21,,1003320449,北京大学,SF,173,75,小前锋,20005,CUBAL一级联赛,200267,2023-24,2023,12,5080,0.155,false,18.85,0.026316,11.48,0.060606,18.03,0.013217,0,0,65.57,0.026433,,0,0,0,0,,
CUBAL一级联赛,CUBAL一级联赛,80550,伍湘琳,Wu Xianglin,10,21,,1003320449,北京大学,PG,173,75,控球后卫,20005,CUBAL一级联赛,200267,2023-24,2023,12,4344,0.133,false,64.71,0.041667,71.57,0.105263,83.33,0.04369,0,0,2.94,0.058254,,0,0,0,0,,
CUBAL一级联赛,CUBAL一级联赛,32005,王家绘,,,22,,1003320449,北京大学,总和,,,,20005,CUBAL一级联赛,200406,2024-25,2024,30,25786,429.8,true,95.21,0.114833,98.63,0.220721,97.28,0.061229,92.47,0.031008,17.01,0.047099,99.1,62,62,30,32,46.85,0.516129
CUBAL一级联赛,CUBAL一级联赛,32005,王家绘,Wang Jiahui,11,22,,1003320449,北京大学,SF,183,80,小前锋,20005,CUBAL一级联赛,200406,2024-25,2024,18,22623,0.877,false,97.28,0.124339,99.32,0.234987,97.96,0.061462,92.52,0.031339,18.37,0.045428,95.54,55,55,26,29,44.64,0.527273
CUBAL一级联赛,CUBAL一级联赛,32005,王家绘,Wang Jiahui,11,22,,1003320449,北京大学,PF,183,80,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,7,2310,0.09,false,6.08,0.027778,79.05,0.162791,95.27,0.054419,0,0,14.19,0.054419,,5,5,2,3,,0.6
CUBAL一级联赛,CUBAL一级联赛,32005,王家绘,Wang Jiahui,11,22,,1003320449,北京大学,SG,183,80,得分后卫,20005,CUBAL一级联赛,200406,2024-25,2024,4,671,0.026,false,0,0,30.94,0.071429,99.28,0.08956,100,0.142857,0,0.08956,,2,2,2,0,,0
CUBAL一级联赛,CUBAL一级联赛,32005,王家绘,Wang Jiahui,11,22,,1003320449,北京大学,PG,183,80,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,1,182,0.007,false,0,0,0,0,0,0,0,0,100,0,,0,0,0,0,,
CUBAL一级联赛,CUBAL一级联赛,32005,王家绘,,,21,,1003320449,北京大学,总和,,,,20005,CUBAL一级联赛,200267,2023-24,2023,30,49794,829.9,true,95.04,0.10846,100,0.230769,99.18,0.077079,99.17,0.041056,24.59,0.046492,100,108,108,66,42,82.65,0.388889
CUBAL一级联赛,CUBAL一级联赛,32005,王家绘,Wang Jiahui,11,21,,1003320449,北京大学,SF,183,80,小前锋,20005,CUBAL一级联赛,200267,2023-24,2023,18,40402,0.811,false,94.26,0.101877,97.54,0.209677,99.18,0.072415,99.18,0.046099,27.05,0.045259,97.98,94,94,58,36,83.84,0.382979
