_group,_leagueName,playerId,playerName,playerEnName,number,age,sex,teamId,teamName,position,height,weight,positionCn,leagueEventId,leagueEvent,seasonId,season,year,出场次数,上场时间(秒),上场时间(分钟),位置筛选(全部/按位置),球员有效投篮命中率百分位排名,有效投篮命中率,球员篮下出手数百分位排名,篮下出手数,球员篮下命中率百分位排名,篮下命中率,球员中距离出手数百分位排名,中距离出手数,球员中距离命中率百分位排名,中距离命中率,球员三分出手数百分位排名,三分出手数,球员三分命中率百分位排名,三分命中率,罚球出手数百分位排名,罚球出手数,罚球命中率百分位排名,罚球命中率,底角三分出手数百分位排名,底角三分出手数,底角三分命中率百分位排名,底角三分命中率,非底角三分出手数百分位排名,非底角三分出手数,非底角三分命中率百分位排名,非底角三分命中率,球员短中距离出手数百分位排名,短中距离出手数,球员短中距离命中率百分位排名,短中距离命中率,球员长中距离出手数百分位排名,长中距离出手数,球员长中距离命中率百分位排名,长中距离命中率,_playerName
CUBAL一级联赛,CUBAL一级联赛,32066,袁欣悦,Yuan Xinyue,7,19,,1003320453,清华大学,SF,181,74,小前锋,20005,CUBAL一级联赛,200069,2022-23,2022,1,396,0.345,false,10.53,0.166667,31.58,3,5.26,0.333333,21.05,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.37,3,0,0,0,0,0,0,
CUBAL一级联赛,CUBAL一级联赛,32066,袁欣悦,Yuan Xinyue,7,19,,1003320453,清华大学,SG,181,74,得分后卫,20005,CUBAL一级联赛,200069,2022-23,2022,1,260,0.226,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.05,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CUBAL一级联赛,CUBAL一级联赛,92943,梁悦洁,Liang Yuejie,8,20,,1003320453,清华大学,PF,180,80,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,1,35,1,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CUBAL一级联赛,CUBAL一级联赛,92943,梁悦洁,Liang Yuejie,8,20,,1003320453,清华大学,总和,180,80,,20005,CUBAL一级联赛,200406,2024-25,2024,1,35,0.6,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CUBAL一级联赛,CUBAL一级联赛,80514,王镘淋,,,21,,1003320453,清华大学,总和,,,,20005,CUBAL一级联赛,200406,2024-25,2024,33,21196,353.3,true,75.81,0.456081,88.71,38,85.48,0.684211,89.52,33,38.71,0.212121,98.39,77,75,0.298701,86.29,24,58.06,0.625,0,,0,0,0,,0,0,0,,0,0,0,,0,0,
CUBAL一级联赛,CUBAL一级联赛,80514,王镘淋,Wang Manlin,9,21,,1003320453,清华大学,PG,175,72,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,17,10769,0.508,false,92,0.545455,63.2,21,88,0.714286,55.2,13,41.6,0.230769,79.2,43,88,0.372093,58.4,11,87.2,0.818182,61.6,3,77.6,0.333333,80.8,40,88,0.375,58.4,11,24.8,0.090909,49.6,2,100,1,
CUBAL一级联赛,CUBAL一级联赛,80514,王镘淋,Wang Manlin,9,21,,1003320453,清华大学,SG,175,72,得分后卫,20005,CUBAL一级联赛,200406,2024-25,2024,15,10331,0.487,false,37.41,0.364286,43.17,17,80.58,0.647059,72.66,20,31.65,0.2,66.19,33,48.2,0.212121,61.87,13,25.9,0.461538,49.64,3,0,0,66.19,26,64.03,0.269231,63.31,13,20.14,0.076923,80.58,6,68.35,0.333333,
CUBAL一级联赛,CUBAL一级联赛,80514,王镘淋,Wang Manlin,9,21,,1003320453,清华大学,SF,175,72,小前锋,20005,CUBAL一级联赛,200406,2024-25,2024,1,96,0.005,false,0,0,0,0,0,0,0,0,0,0,5.44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CUBAL一级联赛,CUBAL一级联赛,80514,王镘淋,,,20,,1003320453,清华大学,总和,,,,20005,CUBAL一级联赛,200267,2023-24,2023,29,24301,405,true,92.08,0.496429,83.17,27,82.18,0.740741,83.17,34,24.75,0.176471,93.07,79,90.1,0.367089,72.28,19,20.79,0.421053,0,,0,0,0,,0,0,0,,0,0,0,,0,0,
CUBAL一级联赛,CUBAL一级联赛,80514,王镘淋,Wang Manlin,9,20,,1003320453,清华大学,PG,175,72,控球后卫,20005,CUBAL一级联赛,200267,2023-24,2023,18,17363,0.714,false,94.12,0.510417,75.49,24,83.33,0.75,64.71,22,25.49,0.181818,80.39,50,89.22,0.36,61.76,15,17.65,0.4,49.02,3,0,0,83.33,47,90.2,0.382979,62.75,16,29.41,0.1875,67.65,6,45.1,0.166667,
CUBAL一级联赛,CUBAL一级联赛,80514,王镘淋,Wang Manlin,9,20,,1003320453,清华大学,SG,175,72,得分后卫,20005,CUBAL一级联赛,200267,2023-24,2023,11,6938,0.286,false,80.17,0.465909,3.45,3,74.14,0.666667,30.17,12,22.41,0.166667,57.76,29,94.83,0.37931,17.24,4,36.21,0.5,67.24,6,0,0,55.17,23,98.28,0.478261,17.24,6,61.21,0.333333,74.14,6,0,0,
CUBAL一级联赛,CUBAL一级联赛,89060,魏亦冉,,,18,,1003320453,清华大学,总和,,,,20005,CUBAL一级联赛,200406,2024-25,2024,16,6877,114.6,true,92.52,0.571429,36.73,13,95.24,0.769231,33.33,7,52.38,0.285714,24.49,1,0,0,30.61,4,82.99,0.75,0,,0,0,0,,0,0,0,,0,0,0,,0,0,
CUBAL一级联赛,CUBAL一级联赛,89060,魏亦冉,Wei Yiran,10,18,,1003320453,清华大学,PF,185,79,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,10,4811,0.7,false,80.41,0.5,23.65,8,93.24,0.75,24.32,5,30.41,0.2,24.32,1,0,0,30.41,4,82.43,0.75,0,0,0,0,24.32,1,0,0,24.32,3,61.49,0.333333,49.32,2,0,0,
CUBAL一级联赛,CUBAL一级联赛,89060,魏亦冉,Wei Yiran,10,18,,1003320453,清华大学,SF,185,79,小前锋,20005,CUBAL一级联赛,200406,2024-25,2024,5,1654,0.241,false,100,0.714286,21.09,5,94.56,0.8,11.56,2,93.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.69,2,87.07,0.5,0,0,0,0,
