_group,_leagueName,teamId,teamName,有效投篮命中率,篮下比重,篮下命中率,中距离比重,中距离命中率,三分比重,三分命中率,对手有效命中率,对手篮下比重,对手篮下命中率,对手中距离比重,对手中距离命中率,对手三分比重,对手三分命中率,篮下近距离比重,短中距离命中率,远中距离比重,长中距离命中率,底角三分比重,底角三分命中率,侧翼三分比重,非底角三分命中率,对手近距离比重,对手近距离命中率,对手远中距离比重,对手远中距离命中率,对手底角三分比重,对手底角三分命中率,对手侧翼三分比重,对手侧翼三分命中率,leagueEventId,leagueEvent,seasonId,season,year,playerId,playerName,playerEnName,number,age,sex,position,height,weight,positionCn,上场时间(分钟),上场时间(秒),onOff,球队比赛场次,球队eFG%百分位,球队篮下出手占比百分位排名,球队篮下命中率百分位排名,球队中距离出手占比百分位排名,球队中距离命中率百分位排名,球队三分出手占比百分位排名,球队三分命中率百分位排名,对手eFG%百分位,对手篮下出手占比百分位排名,对手篮下命中率百分位排名,对手中距离出手占比百分位排名,对手中距离命中率百分位排名,对手三分出手占比百分位排名,对手三分命中率百分位排名,位置筛选(全部/按位置),_playerName
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.522857,0.297143,0.557692,0.302857,0.301887,0.4,0.442857,0.366071,0.220238,0.432432,0.458333,0.25974,0.321429,0.314815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,80514,王镘淋,,,20,,SG,,,得分后卫,0.286,6938,,,85.77,46.07,49.63,39.14,49.25,73.22,96.44,64.23,79.59,80.71,17.79,64.04,56.93,24.53,false,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.528226,0.33871,0.678571,0.229839,0.350877,0.431452,0.336449,0.388889,0.266667,0.583333,0.366667,0.272727,1,0.088889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,89060,魏亦冉,,,18,,总和,,,,114.6,6877,,,,,,,,,,,,,,,,,true,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.525714,0.371429,0.676923,0.262857,0.391304,0.365714,0.3125,0.358333,0.258333,0.548387,0.391667,0.234043,0.35,0.238095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,89060,魏亦冉,,,18,,PF,,,大前锋,0.7,4811,,,83.28,45.36,82.62,47.85,75.5,59.27,71.69,72.52,81.62,46.52,14.57,70.86,47.68,56.46,false,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.543103,0.327586,0.684211,0.172414,0.2,0.5,0.37931,0.431373,0.294118,0.666667,0.333333,0.352941,0.372549,0.210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,89060,魏亦冉,,,18,,SF,,,小前锋,0.241,1654,,,86.42,32.95,83.77,17.55,18.54,93.71,86.42,42.05,74.83,18.87,28.31,36.26,37.75,66.72,false,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.5,0,0,0.066667,0,0.933333,0.357143,0.555556,0.222222,0.5,0.222222,0.5,0.555556,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,89060,魏亦冉,,,18,,C,,,中锋,0.06,412,,,,,,,,,,,,,,,,,false,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.532091,0.440994,0.661972,0.221532,0.383178,0.337474,0.306748,0.362745,0.247549,0.49505,0.362745,0.337838,1,0.078431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,32071,张涛,,,21,,总和,,,,264.6,15874,,,,,,,,,,,,,,,,,true,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.5363,0.442623,0.666667,0.217799,0.397849,0.339578,0.303448,0.360704,0.246334,0.535714,0.375367,0.351563,0.378299,0.170543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,32071,张涛,,,21,,PF,,,大前锋,0.868,13773,,,84.93,65.56,81.13,32.95,75.99,47.35,69.21,71.69,83.77,49.5,17.72,36.26,35.43,80.3,false,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.448718,0.384615,0.666667,0.282051,0.272727,0.333333,0.230769,0.428571,0.244898,0.333333,0.326531,0.3125,0.428571,0.380952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,32071,张涛,,,21,,SF,,,小前锋,0.092,1453,,,63.58,49.34,81.13,55.96,40.4,45.86,40.4,43.54,84.11,92.55,29.97,46.52,17.38,13.41,false,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.617647,0.529412,0.555556,0.176471,0.333333,0.294118,0.6,0.222222,0.277778,0.2,0.222222,0,0.5,0.222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,32071,张涛,,,21,,C,,,中锋,0.041,648,,,,,,,,,,,,,,,,,false,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.487857,0.422857,0.625,0.278571,0.302564,0.298571,0.311005,0.362602,0.243902,0.526667,0.377236,0.271552,1,0.087805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,32071,张涛,,,20,,总和,,,,416.9,25014,,,,,,,,,,,,,,,,,true,
